question,option1,option2,option3,option4,correct_answer
A patient presents to a freestanding radiology center and had ultrasonic guidance needle placement with imaging supervision and interpretation of two separate lesions in the left breast. The procedure required several passes to complete. How would you report the imaging procedure?,76930 x 2,76941,76942 x 2-LT,76942-LT,76942 x 2-LT
"Sally had a DXA bone density study for her hips, pelvis, and spine. The procedure was performed in a hospital. How would you report for the professional services of this study?","77078-26, 77080-26",77080-26,77082-26,"77081-26, 77080-26",77080-26
"A patient had a Tomographic Myocardial Perfusion imaging single study at rest with quantification, ejection fraction, and wall motion study. The procedure was performed in the nuclear medicine department of the hospital. How would you report the professional services for this study?",78473-26,78451-26,78452-26,78453-26,78451-26
Which of the following codes are unlisted procedures?,"76498, 78199, 76496, 77799","75600, 75801, 76506, 76830","74181, 74280, 75564, 75600","75810, 75801, 75860, 75983","76498, 78199, 76496, 77799"
A CT study of the lumbar spine (L2–L4) was performed with IV contrast in the hospital outpatient radiology department and the interpretation of the images is performed by the radiologist. What CPT® code(s) should be reported by the radiologist who is not an employee of the hospital?,72132-TC,72132,72132-26,"72132-26, 72132-TC",72132-26
56-year-old female is having a bilateral mammogram with computer aid detection conducted as a screening since the patient has had a previous cyst in the right breast. What radiological services are reported?,"77054, 77061",77067-50,77067,"7,70,67,77,063",77067
"A patient with colon cancer receives seven radiation treatments. During the course of the treatments, the physician views the port films, reviews the treatment parameters, and assesses the patient’s response to the treatment. Code for the radiation treatment management.",77427,77431 x 4,77427 x 2,"77427, 77431",77427
"A 78-year-old with lower back pain and leg pain is scheduled for an MRI of lumbar spine without contrast. Following the MRI, the patient is diagnosed with spinal stenosis of the lumbar region. What are the procedure code?",72020,72149,72148,72158,72148
The physician orders an ultrasound on a patient 25 weeks pregnant with twins to access fetal heart rate and fetal position. Select the code(s).,"76805, 76810","76811, 76812",76816 x 2,76815,76815
"Due to an elevated CEA level two years following a colon resection, the patient’s oncologist ordered a diagnostic liver ultrasound. Code this encounter.",76700,78220,76705,76970,76705
The physician orders a heart CT without contrast. The tests will evaluate the amount of coronary calcium. What is the correct code?,75571,75572,75574,75557,75571
A 42-year-old has a lesion on his pancreas. The physician passes the biopsy needle through the skin and removes tissue to be sent to pathology. Fluoroscopic guidance is used to obtain the biopsy. Code this encounter.,"48100, 77002","48102, 77002","48120, 76942","48102, 76942","48102, 77002"
A patient presents for a CT of thorax without contrast material followed by contrast material. ,72074,72130,72129,71270,71270
"A 40-year-old female came to the clinic with severe back pain, unable to bend or sit properly. Doctor ordered X-ray of thoracic spine, 4 views and also lumbosacral, complete including bending 10 views. Code only for professional component.","72074, 72114","72072, 72110 X2","72114, 72074","72074-26, 72114-26","72074-26, 72114-26"
"Hanna came for her annual screening mammogram, which revealed a mass in her left breast. After reading screening mammogram, doctor scheduled for computer aided detection screening mammography 2-view film study of each breast. ",76499,77065,77067,77066,77067
"Emma came for her annual screening mammogram, which revealed a mass in her left breast. After reading screening mammogram, doctor scheduled for computer aided detection bilateral screening mammography. ",77066,77067,77067-26-LT,77067-50,77067
"On the same DOS, if an AP chest x-ray is performed at 7:00 am and read by Dr.A and at 10:30 am another AP chest is performed and read by Dr. B, the correct modifier(s) to be assigned to these codes to describe the physicians reading ofthese studies in a hospitalbased setting are (is): ",71045-26 and 71045-26,71045-76 and 71045-76,71045-26 and 71045-26-76,71045-26 and 71045-26-77,71045-26 and 71045-26-77
"When billing for a percutaneous radiofrequency ablation of a liver tumor, theappropriate (S&I) supervision and interpretation code is: ",77013,77022,76940,"Any of the above, based upon the imaging modality used","Any of the above, based upon the imaging modality used"
"If under imaging guidance, a ureteral stent is exchanged through an ileal conduit, the correct codes are: ",76942 and 50688,77002 and 50688,75984 and 50688,A low-level E&M code,75984 and 50688
If transvaginal examination is done in addition to transabdominal non- obstetrical ultrasound exam use 76830 in addition to appropriate transabdominal code. ,TRUE,FALSE,,,TRUE
A unilateral MRI of the breast with CAD is coded: ,"77059, 0159T","77065, 0159T","77058, 0159T",77065,"77058, 0159T"
What type of contrast administrations do not qualify as a study with contrast? ,oral and/or extravascular,oral and/or Intrathecal,oral and or intravascular,oral and/or rectal.,oral and/or rectal.
A patient is admitted to the hospital for insertion of 15 interstitial radiationribbons. How would the facility report the radiology services? ,77778,77761 x15,77777-TC,77762 x15,77778
"Marcy is a 30-year-old female, came to clinic for Pyelography, infusion, bolus technique, with nephrotomography. ",74425,74485,74415,74410,74415
