question,option1,option2,option3,option4,correct_answer
A patient underwent thoracentesis aspiration of the pleural cavity with ultrasound guidance. How should you report this procedure? ,"32554, 76942-26 ",32555,"32555, 76942-26 ",32557,32555
A CT scan identified moderate-sized right pleural effusion in a 50 year-old male. This wasestimated to be 800 cc in size and had an appearance of fluid on the CT scan. A needle is used to puncture through the chest tissues and enter the pleural cavity to insert a guidewire under ultrasound guidance. A pigtail catheter is then inserted at the length of the guidewire and securedby stitches. The catheter will remain in the chest and is connected to drainage system to drain the accumulated fluid. The CPT® code is: ,32557,32555,32556,32550,32557
Jenny underwent a right upper lobectomy and a therapeutic wedge resection of the right middlelobe. How should you report this procedure? ,"32480, 32505, 32506-51 ","32484, 32506 ","32480, 32505-59 ","32440, 32480-59 ","32480, 32505-59 "
Darlene underwent SRS/SRBT thoracic target delineation for sterotactic body radiation therapy.Her course of treatment required four sessions. How should the surgeon report this procedure? ,"31626, 32701 x 4 ","32701, 77435 ",32701 x 4 ,32701,32701
"The patient is a 59-year-old white male who underwent carotid endarterectomy for symptomatic left carotid stenosis a year ago. A carotid CT angiogram showed a recurrent 90% left internal carotid artery stenosis extending into the common carotid artery. He is taken to the operating room for re- do left carotid endarterectomy. The left neck was prepped and the previous incision was carefully reopened. Using sharp dissection, the common carotid artery and its branches were dissected free. The patient was systematically heparinized and after a few minutes, clamps were applied to the common carotid artery and its branches. A longitudinal arteriotomy was carried out with findings of extensive layering of intimal hyperplasia with no evidence of recurrent atherosclerosis. A silastic balloon-tip shunt was inserted first proximally and then distally, with restoration of flow. Several layers of intima were removed and the endarterectomized surfaces irrigated with heparinized saline. An oval Dacron patch was then sewn into place with running 6-0 Prolene. Which CPT® code(s) is/are reported?",35301,"35301, 35390 ",35302,"35311, 35390","35301, 35390 "
"Julie, a 28-year-old ESRD patient was seen by Dr. Jeri in an outpatient hospital facility for treatment of an obstructed hemodialysis AV graft. Dr. Jeri provided moderate conscious sedation to Julie for percutaneous transluminal balloon angioplasty of the venous portion of the graft. This procedure lasted 45 minutes. Julie had an excellent result and was released to home after recovery from the treatment. Dr. Jeri performed the professional radiological supervision and interpretation with this procedure. What code(s) capture this service?","35476, 75978-26","35460, 75962-26","36476, 92982, 75978-26","36476, 99144, 99145, 75878-26","35476, 75978-26"
"What code would you report for a cervical approach of a mediastinotomy with exploration, drainage, removal of foreign body, or biopsy?",39010,39000,39200,39400,39000
Roger had a rhinoplasty to correct damage caused by a broken nose. One year later he had a secondary rhinoplasty with major revisions. At the end of the second surgery the incisions were closed with a single layer technique. How would you report the second procedure?,30450,30450-78,"30420, 12014","30430, 12014-59",30450
A surgeon started with a diagnostic thoracoscopy. During the same surgical session she completed a surgical thoracoscopy to control a hemorrhage. How would you report this procedure?,"32601 32601,",32654-59,32500,32654,32654
A physician inserts a single temporary transvenous pacing catheter into the right atrium and connects the electrode to an external pulse generator. How should the physician report these services? ,33214,33206,33210,33211-52,33206
