question,option1,option2,option3,option4,correct_answer
"Jack fell from a ladder six months ago and broke his left radius. The fracture is not healing as expected and the implant needs to be replaced. Today, Jack underwent a secondary procedure. Dr. Gene completed an open treatment with internal fixation of the radial neck, including replacementof the prosthetic radial head. How should you report Dr. Gene’s services? ",24666-LT ,24366-LT ,25607-LT ,24587-LT ,24666-LT 
A patient underwent a mini-open repair of her right rotator cuff. How should you report this procedure? ,29827-RT ,23410-RT ,23412-RT ,"23410-RT, 29827-RT-59 ",23412-RT 
"A patient, under general anesthesia, underwent a primary repair to the left ankle for a disrupted ligament. During the same procedure, the patient required a percutaneous tenotomy to lengthen the Achilles tendon. How should you report the surgeon’s services? ","27695-LT, 27606-59-LT ","27698-LT, 27685-59-LT, 01472-47 ","27695-LT, 27685-59-LT, 01472-47 ","27698-LT, 27605-59-LT ","27695-LT, 27606-59-LT "
"Dr. Hewes completed an anterior arthrodesis fusion, with a structural allograft, and minimal dis- cectomy at L1-2, L3-4, and L4-5. Anterior instrumentation was required and inserted for stabiliza- tion of the entire lumbar region. How should Dr. Hewes report this procedure? ","22612, 22614 x 2, 20931, 22846 ","22558, 22585 x 2, 20931, 22846 ","22558, 22585 x 2, 20931-51, 22846-62 ","63075, 22558, 22614 x 2, 20931-51, 22846-62 ","22558, 22585 x 2, 20931, 22846 "
"A patient was stabbed in the right arm. The stab wound was enlarged and cleaned, foreign materi-als were removed and inspected, and coagulation of minor blood vessels was completed. Which code(s) should you report for this service?","20103, 24200",20103,"24200, 24000-59 ","24000, 20103-59 ",20103
Reese suffered a dislocation to his right fourth carpometacarpal. Dr. Lewis completed a closed manipulation under anesthesia and repaired Reese’s injury. Which code should Dr. Lewis report for her services? ,26605,26641,26670,26675,26675
A patient suffered a fracture of the femur head. He had an open treatment of the femoral head with a replacement using a Medicon alloy femoral head and methyl methacrylate cement. How would you report this procedure?,27236,27235,27238,"27275, 27236-59",27236
What modifier should you report when the same physician provided a re-reduction of a fracture?,76,59,77,54,76
"A patient suffered a penetrating knife wound to his back. A surgeon performed wound exploration with enlargement of the site, debridement, and removal of gravel from the site. The surgeon decided a laparotomy procedure was not necessary at this time. How would you report this procedure?",This procedure is bundled with the laparotomy,"49000, 97602-51, 20100-59","49000, 20102-59",20102,20102
"While playing at home, Riley dislocated his patella, when he fell from a tree. The surgeon documented an open dislocation. Riley underwent a closed treatment under anesthesia. How would you report the treatment and diagnoses?","27420, S83.006A","27562, S83.006A, W01.198A, Y92.099","27840, 27562-51, S83.006A, W01.198A","27562, S83.006A","27562, S83.006A, W01.198A, Y92.099"
"Sarah presented to her primary care physician with pain and swelling in the right elbow. After careful examination he referred her to an orthopedic surgeon for a second opinion. Dr. Femur diagnosed Sarah with acute osteomyelitis of the olecranon process and recommended surgery. Sarah agreed to the surgery and underwent a sequestrectomy, through a posterior incision, with a loose repair over drains ending the procedure. Dr. Femur sent a written report back to Sarah’s primary care physician along with the operative report. How would you report the procedure?","99244-57, 24138-RT","99214, 99244-57",24138-RT,"99214, 23172-59",24138-RT
How should you report a deep biopsy of soft tissue of the thigh or knee area?,27323,27324,20206,27328,27324
