question,option1,option2,option3,option4,correct_answer
"Cassidy, a 35-year-old patient, has a history of diabetes mellitus controlled with insulin. She was diagnosed with background diabetic retinopathy three years ago. Today, Cassidy was referred toDr. Nelson for retinal images with fundus photography of both eyes. Upon completion of the im-ages, Dr. Nelson reviewed the study and sent a detailed report outlining the progression in Cas-sidy’s condition to the referring physician. How should Dr. Nelson report her services? ","99242-25, 92228, 92250-59 ",92228,"99242-25, 92227, 92250-59 ",92227,92228
A patient with chronic renal failure is in the hospital being evaluated by his nephrologist after just placing a catheter into the peritoneal cavity for dialysis. The physician is evaluating the dwell time and running fluid out of the cavity to make sure the volume of dialysate and the concentration of electrolytes and glucose are correctly prescribed for this patient. What code should be reported for this service?,90935,90937,90947,90945,90945
"George, a 26-year-old patient, returned to Dr. Morris’s office for his scheduled psychotherapy visit. In addition to the 45-minute psychotherapy session, Dr. Morris documented George’s in- creased anxiety and depression, completed an expanded problem-focused history and expanded problem-focused examination, and documented low-complexity medical decision-making. Total time spent face-to-face with the patient was documented as 65 minutes. How should Dr. Morrisreport services for today’s visit? ","99213, 90836 ","99213, 90834 ","99214, 90838 ","99214, 90836","99213, 90836 "
"Dr. Sally, an anesthesiologist, provided general anesthesia for a 72-year-old patient with mild hypertension undergoing an open arthroscopy of the humeral neck. During this procedure Dr. Sally wasnot supervising or monitoring any other cases. How should Dr. Sally report her code(s) for this case? ","01630-AAP2, 99100 ","01620-AA-P2, 99100 ",01630-P2 ,01634-P2,"01630-AAP2, 99100 "
Dr. Thompson was in attendance for 29 minutes during a functional cortical mapping of the brainsurface to identify brain structures. The study was stopped after 29 minutes due to recordings and mapping that provided adequate information for a diagnosis. How should Dr. Thompson report his service? ,95961-52 ,95961,95970,"95872, 95961-22",95961-52 
"Dr. Risser treated a 44-year-old established patient with a history of CHF in the ED for acute shortness of breath and chest pain. After testing, Dr. Risser took the patient to the cardiac proce- dure suite with a diagnosis of an impending infarction. Dr. Risser completed a primary diagnostic PTCA to the left circumflex and left anterior descending artery. Following the PTCA, Dr. Risser determined that placement of three stents in the left anterior descending artery was indicated. He proceeded with placement of the stents during this same surgical session. How should Dr. Risser report his servicesfor this procedure? ","92920, 92928 x 3 ","92928, 92929 x 2 ","92920, 92928-59, 92929-59 ","92928, 92921","92928, 92921"
A patient with chronic renal failure is in the hospital being evaluated by his nephrologist after just placing a catheter into the peritoneal cavity for dialysis. The physician is evaluating the dwell time and running fluid out of the cavity to make sure the volume of dialysate and the concentration of electrolytes and glucose are correctly prescribed for this patient. What code should be reported for this service?,90935,90937,90947,90945,90945
Dr. Thompson was in attendance for 29 minutes during a functional cortical mapping of the brain surface to identify brain structures. The study was stopped after 29 minutes due to recordings and mapping that provided adequate information for a diagnosis. How should Dr. Thompson report his service?,95961-52,95961,95970,"95872, 95961-22",95961-52
"Mae’s physician asked her to wear a glucose monitoring device to obtain more accurate information about her blood sugars. She had sensors placed and was then hooked up to a calibrated wearable device. Once this was complete, the technician provided Mae with training for the non invasive ambulatory continuous glucose monitoring device. After wearing the device for 72 hours, Mae’s physician’s office removed the device, printed recordings, and downloaded analyses reports to its computer system. Which code captures this service?",99090,99091,95250,95251,95250
Which CPT® code should you report when your cardiologist performs a complete cardiac stress test service?,93015,93016,93017,93018,93015
An 11-year-old female had one face-to-face visit with her physician and received three daily dialysis services during a one-month period prior to her kidney transplant. How should these services be reported?,90945,90968 x 3,90964 x 3,90956,90968 x 3
What code would be used to code the technical aspect of an evaluation of swallowing by video recording using a flexible fiber optic endoscope?,92611,92612,92610,92613,92612
Which code would be used to report an EEG (electroencephalogram) provided during carotid surgery?,95816,95819,95822,95955,95955
How would you report a screening hearing test?,92551,92555,92553,92620,92551
A patient presents to her oncologist’s office for schedule chemotherapy. The patient is severely dehydrated. The physician decides to schedule the chemotherapy for another day and orders hydration therapy to be performed today instead of the chemotherapy. The therapy is ordered and administered for one hour and 10minutes. Select the code(s). ,"96413-53, 96360",96360,"96360, 96361 ","96413, 96361 ",96360
"Left heart catheterization retrograde from the femoral artery with injection procedures for selective coronary angiography and selective left ventriculography, including imaging supervision and interpretation with report, are performed. The cardiologist performed all of the services at the hospital. The CPT® codes are:",93458,"93452, 93454 ","93452, 93563","93458, 93565",93458
Health agency. The patient has cystic fibrosis and is suffering from recurrent pneumonia. The MD did the initial plan of care for the home health agency and now is following this monitor vent management oversight on day 20. The provider has a total 45 minutes for this month how should he code? ,94002,94003,94005,94004,94005
"Jim underwent a Code for a percutaneous transluminal revascularization of acute total/subtotal occlusion during acute myocardial infarction, coronary artery, intracoronary stent, single vessel. What code(s) should you use to report these services?",92941,92943,92944,92973,92941
"An adult patient had the following immunizations with administration: yellow fever vaccine, subcutaneous injection, Hepatitis B vaccine IM injection, Zoster(HZV) vaccine, subcutaneous. How would you report these services?","90460, 90461 x 2, 90717-51, 90746-51, 90736-51 ","90471, 90472 x 2, 90717, 90746, 90736 ","90473, 90474 x 2, 90746, 90736, 90717 ","90471, 90472 x 2, 90736-51, 90746-51, 90717-51 ","90471, 90472 x 2, 90717, 90746, 90736 "
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
