question,option1,option2,option3,option4,correct_answer
A patient comes in for surgery today to address complications from his previous partial enterectomy performed 5 months ago. Upon reopening the patient’s previous incision the surgeon resected the ileum and a portion of the colon. An ileo colostomy was performed to complete the procedure with no complications. appropriate CPT® code to report is: ,44144,44160,44150,44205,44160
A patient with esophageal cancer is brought to the OR for subtotal esophagectomy. A thoracotomy incision is made and the esophagus is identified. The tumor is carefully dissected free of the surrounding structures. No invasion of the aorta or IVC is identified. The cervical esophagus is controlled with pursestring sutures and then transected above the sternal notch. The esophagus is then dissected free of the stomach and the entire specimen is removed from the chest cavity and sent to pathology. The stomach is then pulled into the chest cavity and anastomosed to the remaining cervical esophageal stump. The anastomosis is tested for patency and no leaks are found. Hemostasis is assured. The chest is examined for any signs of additional disease but is grossly free of cancer. The chest is closed in layers and a chest tube is place through a separate stab incision. The patient tolerated the procedure well and was taken to the PACU in Condition. ,43101,43117,43107,43112,43112
"12-year-old female is to have a tonsillectomy performed for chronic tonsillitis and hypertrophied tonsils. A McIver mouth gag was put in place and the tongue was depressed. The nasopharynx was digitalized. No significant adenoid tissue was felt. The tonsils were then removed bilaterally by dissection. The uvula was a huge size because of edema, a part of this was removed and the raw surface oversewn with 3-0 chromic catgut. Which CPT® code(s) should be used? ",42821,"42825, 42104-51","42826, 42106-51",42842,"42826, 42106-51"
42-year-old has a lesion on his pancreas. The physician passes the biopsy needle through the skin and removes tissue to be sent to pathology. Fluoroscopic guidance is used to obtain the biopsy. Code this encounter. ,"48100, 77002","48102, 77002","48120, 76942","48102, 76942","48102, 77002"
"Diagnostic upper GI endoscopy of the esophagus, stomach, and duodenum was performed after esophageal balloon dilation (less than 30 mm diameter) was done at the same operative session. Code the procedure(s). ",43235,43249,"43226, 43200","43220, 43235",43249
"An ENT surgeon performed control of uncontrolled bleeding in a 14 yrs old boy after 24 hrs of surgery by surgical intervention. The boy underwent , only for regrown tonsil after the initial tonsillectomy in 12 years of age. ",42970-58,42962-58,42962-78,42826-52,42962-58
"Which code describes removing all, or a portion, of the omentum? ",44700,49255,49905,57270,49255
"A patient is scheduled for laparoscopic cholecystectomy; however, the procedure is converted to open cholecystectomy with common bile duct exploration. Which is the correct CPT® coding? ","47562, 47600",47610,47999,"47579, 47610",47610
"A patient is scheduled for laparoscopic cholecystectomy; however, the procedure is converted to open cholecystectomy with common bile duct exploration. Which is the correct CPT® coding? ","47562, 47600",47610,47999,"47579, 47610","47579, 47610"
The patient was taken to the operating room for a repair of a recurrent strangulated inguinal hernia. ,49521,49520,49492,49521-78,49521
What code would you use to report a rigid proctosigmoidoscopy with removal of two polyps by snare technique? ,45320,45383,45309 X 2,45315,45315
"A patient presents with gastroesophageal reflux disease. To treat this disorder, the surgeon performs a laparoscopic Nissen procedure. A diagnostic laparoscopy was completed during the same session. What code(s) indicate this service? ",43280,43289,43324,"43280, 43325-52",43280
"Lynn has a family history of colon cancer and is scheduled for a screening colonoscopy. During the procedure, three polyps were discovered and removed via hot biopsy forceps technique. The polyps were reported as benign. What diagnoses and procedure(s) codes capture these services?","Z12.11, Z80.0, 45315, 45331","D12.6, Z80.0, 45384",45378,"45378, 45384","D12.6, Z80.0, 45384"
Dr. Blue performs a secondary closure of the abdominal wall for evisceration (outside the postoperative period). He opens the former incision and removes the remaining sutures; necrotic fascia is debrided down to viable tissue. The abdominal wall is then closed with sutures. How would you report the closure?,11043,This is a bundled procedure and not reported,39541,49900,49900
"Heather lost her teeth following a motorcycle accident. She underwent a posterior, bilateral vestibuloplasty, which allows her to wear complete dentures. How would you report this procedure?","40845, 15002",40843-50,40844,40843,40843
Dr. Erin is treating a 58-year-old male patient with a history of chewing tobacco. Dr. Erin finds a 3.4 cm tumor at the base of his tongue. She places needles under fluoroscopic guidance for sub-sequential interstitial radioelement application. How would you report the professional services?,"41019, 77002-26","41019, 77012-26, 77021-26","61770, 41019-59",77002,"41019, 77002-26"
"An 88-year-old male patient suffering from dementia accidentally pulled out his gastrostomy tube during the night. Dr. Keys, an interventional radiologist, takes him into an angiography suite, administers moderate sedation (an independent observer was present during the procedure), probes the site with a catheter and injects contrast medium for assessment and tube placement. Dr. Keys finds that the entry site remains open and replaced the tube into the proper position. The intra-service time for the procedure took 45 minutes. How would Dr. Keys report his services?","49440, 99156, 99157 x2","49440, 49450-59","49450, 99152, 99153 x 2",49450,"49450, 99152, 99153 x 2"
Katherine had a hernioplasty to repair a recurrent ventral incarcerated hernia with implantation of mesh for closure. The surgeon completed debridement for necrotizing soft tissue due to infection. How would you report this procedure?,"49614, 11005-51","49613, 11005-51",49592,"49591, 11005-51","49614, 11005-51"
