question,option1,option2,option3,option4,correct_answer
Dr. Lee performed an intra-operative consultation on a bile duct tumor requiring frozen section and cytological evaluation to a bladder tumor. How would you report his professional services?,88329,"88331-26, 88334-26","88331, 88332 x 2","88331-26, 88333-26","88331-26, 88334-26"
A patient has a cholecystectomy and a soft tissue lipoma removed during the same operative session. Both specimens were sent to pathology in separate containers are examined by the pathologist. What CPT® code(s) are reported?,"88305, 88304",88304 x 2,"88304, 88302",88305 x 2,88304 x 2
Marvin had a breath alcohol test completed at the hospital after the police arrested him for racing his four-wheeler past a McDonald’s drive through window. Marvin’s breath alcohol test was mathematically calculated. How would you report the calculation on this test?,82075,82075 x 2,"82075, 82355",82355,82075
A patient had a semi-quantitative urinalysis for infectious agent detection. How should you report this test?,81050,81005,81099,"81005, 83518",81005
A 58-year-old male patient with abdominal pain and episodes of bright red blood in his stool reports to his physician’s office for a check-up. His physician performs a digital rectal exam and tests for occult blood. Dr. Smith documents this blood occult test was done for purposes other than colorectal cancer screening. How would you report the occult blood test?,82270,82274,82271,82272,82272
"Kathy has had intermittent abdominal pain, occasional diarrhea, stool frequency, and bloating. Her symptoms have worsened over the past two months. Her physician orders a fecal Calprotectin test to check for Crohn’s disease. How should you report the lab test?",82270,"82272, 83993",83993,"82271, 82272",83993
Patient is coming in for a pathological examination for ischemia in the left leg. The first specimen is 1.5 cm of a single portion of arterial plaque taken from the left common femoral artery. The second specimen is 8.5 x 2.7 cm across x 1.5 cm in thickness of a cutaneous ulceration with fibropurulent material on the left leg. What surgical pathology codes should be reported for the pathologist?,"88302, 88304","88304-26, 88305-26","88305-26, 88307-26","88307, 88309","88304-26, 88305-26"
During a craniectomy the surgeon performed a frozen section of a large piece of tumor and sent it to pathology. The pathologist received a rubbery pinkish tan tissue measuring in aggregate 3 x 0.8 x 0.8 cm. The entire specimen is submitted in one block and a microscope was used to examine the tissue. The frozen section and the pathology report are sent back to the surgeon indicating that the tumor was a medulloblastoma. What CPT® code(s) will the pathologist report?,80505,88331-26,80504,"88331-26, 88304-26",88331-26
Physician orders a comprehensive metabolic panel but also wants blood work on calcium ions and also orders a basic metabolic panel. Select the code(s) on how this is reported.,"80053, 80047",80053,"80047, 82040, 82247, 82310, 84075, 84155, 84460, 84450","80053, 82330","80053, 82330"
A patient uses Topiramate to control his seizures. He comes in every two months to have a therapeutic drug testing performed to assess serum plasma levels of this medication. What lab code is reported for this testing?,80200,80199,80201,"80198, 80102",80201
Patient that is a borderline diabetic has been sent to the laboratory to have an oral glucose tolerance test. Patient drank the glucose and five blood specimens were taken every 30 to 60 minutes up to three hours to determine how quickly the glucose is cleared from the blood. What code(s) should be reported for this test?,82947 x 5,82946,80422,"82951, 82952 x 2","82951, 82952 x 2"
Cells were taken from amniotic fluid for analyzation of the chromosomes for possible Down’s syndrome. The geneticist performs the analysis with two G-banded karyotypes analyzing 30 cells. Select the lab codes for reporting this service.,88248,"88267, 88280, 88285","88273, 88280, 88291","88262, 88285","88267, 88280, 88285"
A pathologist performs a comprehensive consultation and report after reviewing a patient’s records and specimens from another facility. The correct CPT® code to report this service is:,88325,99244,80505,88329,88325
Which of the following panels does NOT include chloride?,80061,80050,80053,80047,80061
"A physician performed an automated urinalysis with microscopy. The test revealed the presence of bacteria. The urine specimen was then cultured, and aquantitative colony count was obtained. How should you report the lab services? ","81001, 87086","81000, 87086","81002, 87086","81001, 87088","81001, 87086"
"In preparation for a transfusion, the lab thawed three units of fresh frozenplasma. How should you report these services? ",86927,86930,86927 x3,86932,86927 x3
Cytopathology slides prepared from a cervical specimen were manually scored using the Bethesda System. Lab personnel performed the scoring under physician supervision. The results were positive. The same physician also prepared a writteninterpretation. How should you report these services? ,"88164, 88141","88165, 88141","88164, 88142","88165, 88142","88164, 88141"
Physician orders basic and comprehensive metabolic panels with calciumionized. Select the code(s) on how this is reported. ,"80053, 80047",80053,"80047, 82040, 82247, 82310, 84075, 84155, 84460, 84450","80053, 82330","80053, 82330"
A surgical specimen was removed from the proximal jejunum during a resectionfor adenocarcinoma and was submitted to surgical pathology for gross and microscopic examination. The correct code for this service is: ,88307,88309,88304,88305,88309
A patient with heart disease is being treated with digoxin. The physician orders a therapeutic drug test to measure the level of digoxin. What is the correct code? ,80162,80163,80185,80184,80162
"Dr. A, pathologist, requested to Dr. B, for reporting of test results without review of patients history and medical records. ",80335,80500,80166,80502,80500
Storage of ovarian tissues for 5 years. ,89346,89344,89344 X4,89344 X5,89344 X5
"The correct code for reporting Blood count; hemogram and platelet count, automated, and automated complete differential WBC count (CBC), describes an automated blood count of five groups of white blood cells (eg, basophils, eosinophils, monocytes, lymphocyte and neutrophils), along with hemogram and platelet count. ",85025,"85004, 85027","85027, 85032, 85041","85041, 85027",85025
How would you report gross and microscopic examination of epidermoid cyst. ,88305,88302,88307,88304,88304
Wedge liver biopsy specimen was sent to pathology lab. Technician prepared the slide and who had performed and interpreted. Code the pathologist service. ,88305,88306,88307,88309,88307
"The Mary came to the pathology clinic along with her husband for chromosome analysis, because the previous pregnancy he had a spina bifida baby shown on the TIFFA scan and terminated the pregnancy at that time , this time they came for chromosome analysis. The pathologist done 15-20 cells, two karyotype, with banding code the procedure ",88261,88262,88267,88263,88262
Cryopreservation of embryo(s) and sperma. ,"89258, 89259","89342, 89343","89346, 89259","89258, 89342","89258, 89259"
