question,option1,option2,option3,option4,correct_answer
"What modifier should be reported with the procedure code for transurethral resection of residual, or regrowth of, obstructive prostate tissue when the procedure is performed by the same physician during a postoperative period?",22,52,77,78,78
A colposcope was introduced into the patient’s vagina and under direct visualization through a binocular microscope excessive lesions were revealed in and around the vagina. Electrocautery and laser vaporization were used to destroy the extensive number of vaginal lesions. What are the procedure and diagnosis codes?,"57061, N89.8","57065, N89.8","57000, N85.9","57120, N85.9","57065, N89.8"
A Newborn baby boy Martinez underwent a procedure to slit the prepuce to relieve constriction that prevented retraction of the foreskin over the head of the penis. The slit tissue was sutured at the divided skin to control bleeding. The patient tolerated the procedure well. How would Dr. David report his services for this procedure?,54000-63,54000,54001-52,54001-63,54000
A patient is diagnosed with a bladder tumor. The physician performs a cystourethroscopy with fulguration and resects a 7 cm bladder tumor. Which CPT code(s) would you use for this service?,"52000, 52235","52000, 52240",52240,"52204, 52240",52240
A laparoscopic removal of the patient’s left testicle was performed on a 34-year-old patient who was diagnosed with testicular cancer. Code the encounter.,"54522, C62.00","58671, E29.8","54640, E29.8","54690, C62.00","54690, C62.00"
"The patient has a positive pregnancy test, but ultrasound does not confirm a gestational sac in the first trimester. The physician diagnoses a blighted ovum and performs a suction D&C. What are the procedure and diagnosis codes?","59870, M96.631","59820, M96.631","58120, M96.631","59840, M96.631","59840, M96.631"
"A pregnant patient is diagnosed with an incompetent cervix. The physician performs a cervical cerclage to prevent a missed abortion. After inserting a speculum into the vagina to view the cervix, the physician threads heavy suture material around the cervix using purse-string sutures. The sutures are pulled tight to make the opening smaller and prevent spontaneous abortion. What are the procedure and diagnosis codes?",57700,59320,59325,59899,59320
35-year-old male patient presented to an urologist because he was having continuous yeast infections and irritation on his penis. The physician recommended he have a circumcision. The physician performed the circumcision using a clamp with regional block. Code this procedure.,54150,54160,54161,54150-52,54150
Diane suffered a spontaneous incomplete miscarriage during the second trimester and required surgical completion of this event. How should this procedure be reported?,59812,59820,59821,59840,59812
What code should be reported for a diagnostic dilation and curettage for a patient experiencing heavy bleeding that is not associated with pregnancy?,58120,59160,57800,57700,58120
Preoperative Diagnosis: Right hydronephrosis Postoperative Diagnosis: Right hydronephrosis Operation: Cystoscopy and right retrograde pyelogram Procedure: Patient prepped and draped in the dorsolithotomy position. Placed under general anesthesia a 23 French cystoscope was passed into the bladder. No tumors were visualized. Urine from the bladder was sent for urine cytology. Thena 6 French access catheter was passed into the right uretal or fice. Contrast was injected and there were no filling defects noted. There was no fixed tumor and no stone. There was mild hydroureteral nephrosis against the bladder. There was a narrowing at the UVJ no abnormalities. Renal pelvis barbotaged with saline and renal pelvis urine sent to pathology for urine cytology. After the retrograde pyelogram was performed the access catheter was removed. ,"52000-RT, 74420-26","52007-RT, 74400-26","52281-RT, 74425-26","52005-RT, 74420-26","52005-RT, 74420-26"
Percutaneous RF ablation of a renal tumor is defined by CPT code (surgical): ,50250,50592,50593,49203,50592
Percutaneous cryotherapy of a renal tumor is defined by code (surgical): ,50250,50592,50593,49203,50593
A patient underwent a complex cystometogram with bladder voiding pressure study and a urethral EMG. What codes should you use to report the service? ,"51728, 51784-51","51725, 51785-51","51726, 51797-59","51728, 51784-59","51728, 51784-51"
Patient has consented for further testing to determine the extent of her cervical dysplasia. A cervical cone biopsy of endocervical tissue was cut using a laser. It was tagged with a single stitch. Dilation and curettage was performed. Small amount of tissue was obtained and sent to pathology. Which procedure code(s) should be used? ,"57520, 58120",57500,57520,"57500, 57505",57520
Newborn male is scheduled for a circumcision. He is sterilely prepped and draped; a penile nerve block is performed. The circumcision is performed by a ring device. Hemostasis is achieved. Vaseline Gauze dressing applied. Patient tolerated the procedure well. How would this encounter be coded? ,54160,54150,"54161, 64450","54150, 64450",54150
"Emma, a 46 years old patient underwent anterior cloporrhaphy repair of cystocele and repair of the urethrocele and inserted mesh. The procedure was completed via. Vaginal approach. How should you report this surgery? ","57240, 57267","57250, 57267","57240, 57267-51","57240, 49568-51","57240, 57267"
"A neonatal male had an elective circumcision before home discharge from the newborn nursery. The physician uses a ring block for the local anesthetic and the foreskin is placed over the glans. A clamp is selected for the size of the glansand a constricting circular ring is placed over the foreskin to compress and devascularizethe foreskin. The devascularized foreskin is excised with a scalpel, the ring device is removed, and the penis is dressed. Which CPT® code should be used? ",54150,54160,54161,54150-52,54150
"A 57-year-old female having urinary incontinence with intrinsic sphincter deficiency is having a cystoscopy performed with a placement of a sling. Anincision was made over the mid urethra dissected laterally to urethropelvic ligament. Cystoscopy revealed no penetration of the bladder. The edges of thesling were weaved around the junction of the urethra and brought up to the suprapubic incision. A hemostat was then placed between the sling and the ureC - choice answer A. There is no documentation that supports patient having antepartum care or will be having postpartum care with the obstetrician delivering the baby, eliminating multiple choice answers B and D.thra, ensuring no tension. What CPT® code(s) should be reported? ",57288,57287,"57288, 52000-51","51992, 52000-51",57288
"25-year-old female in the OR for ectopic pregnancy. Once the trocars were place a pneumoperitoneum was created and the laparoscope introduced. The leftfallopian tube was dilated and was bleeding. The left ovary was normal. The uterus was of normal size,shape and contour. The right ovary and tube were normal. Due to the patient’s body habitus the adnexa could not be visualized tostart the surgery. At this point the laparoscopic approach was terminated. The pneumoperitoneum was deflated, and trocar sites were sutured closed. The trocars and laparoscopic instruments had been removed. Open surgery was performed incising a previous transverse scar from a cesarean section. The gestation site was bleeding and all products of conception and clots were removed. The left tube was grasped, clamped and removed in its entirety and passed off to pathology. What code(s) should be used for this procedure? ","5,91,50,59,120",59151,59121,59120,59120
