question,option1,option2,option3,option4,correct_answer
An infant born at 33 weeks underwent five photocoagulation treatments to both eyes due to retinopathy of prematurity at six months of age. The physician used an operating microscope during these procedures. These treatments occurred once per day for a defined treatment period of five days. How would you report all of these services?,67229 -50,67229 x 5,"67229, 69990",67229,67229 -50
Todd had a tumor removed from his left temporal bone. How would you report this service?,61563,61500,"69979, 69990-51",69970,69970
Jennifer was admitted to the hospital for an aspiration of two thyroid cysts. Her physician completed this procedure with CT guidance of the needle including interpretation and report. How would you report the professional services?,"60300-26, 76942-26","60300 x 2, 77012-26","10021, 60300-51, 77012-26",60300,"60300 x 2, 77012-26"
Baby Smith was diagnosed with meningitis. His physician placed a needle through the fontanel at the suture line to obtain a spinal fluid sample on Monday. The needle was withdrawn and the area bandaged. The baby required another subdural tap bilaterally on Wednesday. How would you report Wednesday’s service?,61001,"61000, 61001",61070,61001-50,61001
"6-year-old female with prominent ears undergoes a bilateral otoplasty. Under conscious sedation, the surgeon makes an incision just behind the ear in the natural fold where the ear is joined to the head exposing the cartilage. Cartilage is trimmed and shaped and the incision is closed. Temporary sutures are placed to secure the ear until healing is accomplished. The procedure is repeated on the other ear. What CPT® code(s) is/are reported?",69300 x 2,69300-50,69310-50,69120-22,69300-50
"Martin performed an excision at the middle cranial fossa for a vascular lesion. This procedure was completed in an intradural fashion with dural repair and graft. His partner, Dr. Sutter, performed an infratemporal approach with decompression of the auditory canal. How should Dr. Martin report her services?","61590, 61606-51",61606-62,61606,61601,61606
"After a snow skiing accident, Barry had a cervical laminoplasty to four vertebral segments. How should you report this procedure?",63050 x 4,"22600, 63051-51","22842, 63045, 63050",63050,63050
How is a neuroplasty procedure described in the CPT Professional Edition?,"The decompression or freeing of intact nerve from scar tissue, including external neurolysis and/or transposition",The surgical repair of nerves using only microscopic techniques,The position of nerves tested one or more anatomic digits,"The decompression or freeing of an intact vein from scar tissue, including external neurolysis and/or transposition","The decompression or freeing of intact nerve from scar tissue, including external neurolysis and/or transposition"
John was hospitalized for a repair of a laceration to his left conjunctiva by mobilization and rearrangement. How should you report this procedure?,65273-LT,67930,65272,67930-LT,65273-LT
What is the CPT code for the decompression of the median nerve found in the space in the wrist on the palmar side?,64704,64713,64721,64719,64721
2-year-old Hispanic male has a chalazion on both upper and lower lid of the right eye. He was placed under general Anesthesia. With an #11 blade the chalazion was incised and a small curette was then used to retrieve any granulomatous material on both lids. What code should be used for this procedure?,67801,67805,67800,67808,67808
A physician excises a lesion from the iris of the right eye. How should the physician report these services? ,66761-50,66770-RT,66635-52,66600-RT,66600-RT
"The physician performs a right thyroid lobectomy. The patient was prepped and draped. After adequate general anesthesia, the neck was incised on the right side and sharp dissection was then used to cut down onto the strap muscles and sternodcleido mastoid muscles. The strap muscles were separated and transected on the right side. A small thyroid lobe was visualized and dissected free. There was no evidence of a tumor. The wound was closed with 3-0 interrupted Vicryl forthe platysma, 4- 0 Vicryl for the deep tissues and 6-0 fast absorbing gut for the skin. Code the encounter. ",60252-RT,60210-RT,60220-RT,60260-RT,60220-RT
"58-year-old female has lumbar degenerative spondylolisthesis with severe stenosis and instability. The spinous process of L4 and L5 are decompressed bilaterally by performing a laminectomies, right sided form in otomies and then left-sided facetectomy completely decompressing the ulnar nerve roots as well as the dura. How is this procedure reported? ","63047, 63048","63030-50, 63035-50",63017,"63047-50, 63048-50","63047, 63048"
With which code set or individual codes can add-on code 61781 be correctly reported? ,61770-61791,62201 or 77432,77371-77373,None of the above,None of the above
A 6-month old patient required bilateral subdural tap through a suture. Howwould this initial procedure be reported? ,61000,61001-63,6 1000-50,"61020-63, 61000-50",61000
"A patient with Bell’s palsy is unable to squint, blink, or close her left eyelid. To protect the eye, doctor Carl completes a temporary tatarsorrhaphy with a frost future suture technique. How would you report this procedure. ",67875-LT,67710-LT,67840-LT,67950-LT,67875-LT
"Joe, a 33-year-old patient, was diagnosed with lesion in her auditory canal. After consulting with Dr. pearsall she agreed to undergo an exicision of the lesion.Dr. pearsall completed a soft tissue lesion excision from Joe’s external auditory canal. How should you report this procedure? ",69915,69150,69145,"69105, 69150-59",69145
"A patient presents with new onset of headaches, seizures and gustatory hallucinations and undergoes a cisternal (lateral) cervical puncture. The surgeon uses a paramedian approach and inserts a needle through the tissue to obtain cerebral spinal fluid. Give the correct procedure code(s). ",62272,61070,61055,61050,61050
A general surgeon performed left side thyroidectomy in a patient diagnosed previously with papillary carcinoma of left thyroid invading right lobe also and underwent subtotal thyroidectomy five years before. During the present episode the residual hyperactive thyroid tissue was removed completely. Code the procedure & diagnosis. Upon pathology malignant transformation was reported from the excised material. ,60240-RT,60210-RT,60260-RT-52,60260-RT,60260-RT
