question,option1,option2,option3,option4,correct_answer
A patient presents to a freestanding radiology center and had ultrasonic guidance needle placement with imaging supervision and interpretation of two separate lesions in the left breast. The procedure required several passes to complete. How would you report the imaging procedure?,76930 x 2,76941,76942 x 2-LT,76942-LT,76942 x 2-LT
"Sally had a DXA bone density study for her hips, pelvis, and spine. The procedure was performed in a hospital. How would you report for the professional services of this study?","77078-26, 77080-26",77080-26,77082-26,"77081-26, 77080-26",77080-26
"A patient had a Tomographic Myocardial Perfusion imaging single study at rest with quantification, ejection fraction, and wall motion study. The procedure was performed in the nuclear medicine department of the hospital. How would you report the professional services for this study?",78473-26,78451-26,78452-26,78453-26,78451-26
Which of the following codes are unlisted procedures?,"76498, 78199, 76496, 77799","75600, 75801, 76506, 76830","74181, 74280, 75564, 75600","75810, 75801, 75860, 75983","76498, 78199, 76496, 77799"
A CT study of the lumbar spine (L2–L4) was performed with IV contrast in the hospital outpatient radiology department and the interpretation of the images is performed by the radiologist. What CPT® code(s) should be reported by the radiologist who is not an employee of the hospital?,72132-TC,72132,72132-26,"72132-26, 72132-TC",72132-TC
56-year-old female is having a bilateral mammogram with computer aid detection conducted as a screening since the patient has had a previous cyst in the right breast. What radiological services are reported?,"77054, 77061",77067-50,77067,"7,706,777,063",77067
"A patient with colon cancer receives seven radiation treatments. During the course of the treatments, the physician views the port films, reviews the treatment parameters, and assesses the patient’s response to the treatment. Code for the radiation treatment management.",77427,77431 x 4,77427 x 2,"77427, 77431",77427
"A 78-year-old with lower back pain and leg pain is scheduled for an MRI of lumbar spine without contrast. Following the MRI, the patient is diagnosed with spinal stenosis of the lumbar region. What are the procedure code?",72020,72149,72148,72158,72148
The physician orders an ultrasound on a patient 25 weeks pregnant with twins to access fetal heart rate and fetal position. Select the code(s).,"76805, 76810","76811, 76812",76816 x 2,76815,76815
"Due to an elevated CEA level two years following a colon resection, the patient’s oncologist ordered a diagnostic liver ultrasound. Code this encounter.",76700,78220,76705,76970,76705
The physician orders a heart CT without contrast. The tests will evaluate the amount of coronary calcium. What is the correct code?,75571,75572,75574,75557,75571
A 42-year-old has a lesion on his pancreas. The physician passes the biopsy needle through the skin and removes tissue to be sent to pathology. Fluoroscopic guidance is used to obtain the biopsy. Code this encounter.,"48100, 77002","48102, 77002","48120, 76942","48102, 76942","48102, 77002"
"Brent had the following lab tests:
Calcium ionized
Carbon dioxide
Chloride
Creatinine
Glucose
Potassium Sodium
Urea Nitrogen (BUN) 
How should you report Brent’s lab work?",80048,80047-52,"82310, 82374, 82435, 82565, 82947, 84132, 84295, 84520",80047,80047
Dr. Lee performed an intra-operative consultation on a bile duct tumor requiring frozen section and cytological evaluation to a bladder tumor. How would you report his professional services?,88329,"88331-26, 88334-26","88331, 88332 x 2","88331-26, 88333-26","88331-26, 88334-26"
A patient has a cholecystectomy and a soft tissue lipoma removed during the same operative session. Both specimens were sent to pathology in separate containers are examined by the pathologist. What CPT® code(s) are reported?,"88305, 88304",88304 x 2,"88304, 88302",88305 x 2,88304 x 2
Marvin had a breath alcohol test completed at the hospital after the police arrested him for racing his four-wheeler past a McDonald’s drive through window. Marvin’s breath alcohol test was mathematically calculated. How would you report the calculation on this test?,82075,82075 x 2,"82075, 82355",82355,82075
A patient had a semi-quantitative urinalysis for infectious agent detection. How should you report this test?,81050,81005,81099,"81005, 83518",81005
A 58-year-old male patient with abdominal pain and episodes of bright red blood in his stool reports to his physician’s office for a check-up. His physician performs a digital rectal exam and tests for occult blood. Dr. Smith documents this blood occult test was done for purposes other than colorectal cancer screening. How would you report the occult blood test?,82270,82274,82271,82272,82272
"Kathy has had intermittent abdominal pain, occasional diarrhea, stool frequency, and bloating. Her symptoms have worsened over the past two months. Her physician orders a fecal Calprotectin test to check for Crohn’s disease. How should you report the lab test?",82270,"82272, 83993",83993,"82271, 82272",83993
